timestamp,localized,ambient_long,infrared_long,red_long,ambient_short,infrared_short,red_short
1692167169552,2023-08-15T23:26:09.552(UTC-07:00),17.18013,5.97239,4.21380,14.60813,17.60960,9.18079
1692167169589,2023-08-15T23:26:09.589(UTC-07:00),17.19345,5.94637,4.25372,14.62428,17.60254,9.24892
1692167169657,2023-08-15T23:26:09.657(UTC-07:00),17.18721,5.88745,4.19295,14.61275,17.21666,9.13362
1692167169694,2023-08-15T23:26:09.694(UTC-07:00),17.19609,5.80072,4.19404,14.61931,16.81582,8.92893
1692167169732,2023-08-15T23:26:09.732(UTC-07:00),17.18190,5.78550,4.15376,14.61035,16.73229,8.81710
1692167169807,2023-08-15T23:26:09.807(UTC-07:00),17.19401,5.77428,4.14744,14.60329,16.65226,8.78179
1692167169837,2023-08-15T23:26:09.837(UTC-07:00),17.19249,5.77257,4.13744,14.58400,16.62907,8.74162
1692167169874,2023-08-15T23:26:09.874(UTC-07:00),17.17530,5.82396,4.16219,14.57587,16.71845,8.76382
1692167169949,2023-08-15T23:26:09.949(UTC-07:00),17.18888,5.79219,4.18480,14.60253,16.68771,8.79939
1692167169988,2023-08-15T23:26:09.988(UTC-07:00),17.20030,5.78660,4.14146,14.59799,16.70346,8.76146
1692167170017,2023-08-15T23:26:10.017(UTC-07:00),17.19602,5.80320,4.16052,14.60011,16.70992,8.77703
1692167170093,2023-08-15T23:26:10.093(UTC-07:00),17.18685,5.79975,4.15062,14.60469,16.76190,8.79605
1692167170129,2023-08-15T23:26:10.129(UTC-07:00),17.18700,5.85201,4.15279,14.57296,16.85777,8.81076
1692167170167,2023-08-15T23:26:10.167(UTC-07:00),17.17517,5.85624,4.18681,14.57617,16.93846,8.87902
1692167170234,2023-08-15T23:26:10.234(UTC-07:00),17.18082,5.89091,4.19024,14.56497,17.02646,8.90922
1692167170272,2023-08-15T23:26:10.272(UTC-07:00),17.18861,5.90222,4.20727,14.56381,17.06942,8.93696
1692167170309,2023-08-15T23:26:10.309(UTC-07:00),17.20014,5.89732,4.21365,14.57132,17.08369,8.95660
1692167170377,2023-08-15T23:26:10.377(UTC-07:00),17.18960,5.94743,4.22135,14.54649,17.19736,8.97563
1692167170414,2023-08-15T23:26:10.414(UTC-07:00),17.19849,5.95233,4.22421,14.54980,17.26979,9.00926
1692167170452,2023-08-15T23:26:10.452(UTC-07:00),17.18558,5.96678,4.24977,14.54284,17.34320,9.04850
1692167170527,2023-08-15T23:26:10.527(UTC-07:00),17.19113,5.99637,4.26435,14.55199,17.40821,9.09642
1692167170557,2023-08-15T23:26:10.557(UTC-07:00),17.20115,5.94167,4.25841,14.55005,17.18141,9.08010
1692167170595,2023-08-15T23:26:10.595(UTC-07:00),17.19322,5.87457,4.21269,14.52317,16.77179,8.86319
1692167170669,2023-08-15T23:26:10.669(UTC-07:00),17.18758,5.83772,4.21819,14.52689,16.60681,8.76084
1692167170707,2023-08-15T23:26:10.707(UTC-07:00),17.17975,5.83709,4.18796,14.50692,16.53814,8.69409
1692167170738,2023-08-15T23:26:10.738(UTC-07:00),17.16931,5.81021,4.19766,14.51108,16.46831,8.68795
1692167170812,2023-08-15T23:26:10.812(UTC-07:00),17.18501,5.82307,4.19923,14.51435,16.51880,8.66589
1692167170849,2023-08-15T23:26:10.849(UTC-07:00),17.20187,5.81995,4.20690,14.52354,16.51599,8.69468
1692167170887,2023-08-15T23:26:10.887(UTC-07:00),17.18826,5.81171,4.19041,14.52850,16.51123,8.67666
1692167170954,2023-08-15T23:26:10.954(UTC-07:00),17.17583,5.85797,4.19731,14.51528,16.57810,8.69519
1692167170992,2023-08-15T23:26:10.992(UTC-07:00),17.22936,5.82820,4.21342,14.53646,16.58434,8.73465
1692167171029,2023-08-15T23:26:11.029(UTC-07:00),17.17825,5.87344,4.20156,14.49490,16.64927,8.71807
1692167171097,2023-08-15T23:26:11.097(UTC-07:00),17.17922,5.88723,4.25177,14.49334,16.70512,8.78192
1692167171134,2023-08-15T23:26:11.134(UTC-07:00),17.17718,5.89647,4.24937,14.49535,16.73659,8.80218
1692167171172,2023-08-15T23:26:11.172(UTC-07:00),17.17169,5.91654,4.22303,14.49634,16.80906,8.80057
1692167171247,2023-08-15T23:26:11.247(UTC-07:00),17.20927,5.91627,4.26434,14.51030,16.84152,8.85037
1692167171277,2023-08-15T23:26:11.277(UTC-07:00),17.18760,5.95555,4.24216,14.48055,16.92545,8.84377
1692167171314,2023-08-15T23:26:11.314(UTC-07:00),17.17954,5.99074,4.30349,14.45336,17.00046,8.91949
1692167171389,2023-08-15T23:26:11.389(UTC-07:00),17.17929,5.99747,4.30047,14.44861,17.04391,8.94271
1692167171427,2023-08-15T23:26:11.427(UTC-07:00),17.19006,5.91110,4.31844,14.46972,16.71883,8.91517
