timestamp,localized,breath,brv
1691724033722,2023-08-10T20:20:33.722(UTC-07:00),4.284,2.317
1691724041126,2023-08-10T20:20:41.126(UTC-07:00),7.722,3.662
1691724050282,2023-08-10T20:20:50.282(UTC-07:00),7.627,3.343
1691724062986,2023-08-10T20:21:02.986(UTC-07:00),4.583,3.138
1691724070539,2023-08-10T20:21:10.539(UTC-07:00),7.155,0.472
1691724078602,2023-08-10T20:21:18.602(UTC-07:00),7.391,2.807
